section,pos,team,team_url,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,ppg,win_pct,avg_scored,avg_conceded,form_last5,scraped_at,date,home_team,away_team,home_goals,away_goals,score,result,total_goals,rank,player,player_url,goals,assists,matches,gp,w,t,l,g,gd,pts,o,u,g/g
top_scorers,,Al Ittihad,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,19.0,Aouar H.,https://us.soccerway.com/player/aouar-houssem/E7gaowFp/,12.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Fateh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,20.0,Bendebka S.,https://us.soccerway.com/player/bendebka-sofiane/xEII2f2A/,12.0,1.0,0.0,,,,,,,,,,
top_scorers,,Al Orubah,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,21.0,Al Somah O.,https://us.soccerway.com/player/al-soma-omar/Ic9OMh28/,11.0,3.0,0.0,,,,,,,,,,
top_scorers,,Al Raed,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,22.0,El Berkaoui K.,https://us.soccerway.com/player/el-berkaoui-karim/WbzBpa2H/,11.0,0.0,0.0,,,,,,,,,,
top_scorers,,Al Khaleej,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,23.0,Al Salem A.,https://us.soccerway.com/player/al-salem-abdullah/lQwVOmoS/,10.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Hilal,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,24.0,Malcom,https://us.soccerway.com/player/malcom/YFYwI0J1/,9.0,10.0,0.0,,,,,,,,,,
top_scorers,,Al Khaleej,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,25.0,Fortounis K.,https://us.soccerway.com/player/fortounis-konstantinos/WIPOXg1o/,9.0,5.0,0.0,,,,,,,,,,
top_scorers,,Al Ahli SC,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,26.0,Mahrez R.,https://us.soccerway.com/player/mahrez-riyad/AkzHA2kB/,8.0,10.0,0.0,,,,,,,,,,
top_scorers,,Al Raed,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,27.0,Sayoud A.,https://us.soccerway.com/player/sayoud-amir/SCrnyDm7/,8.0,7.0,0.0,,,,,,,,,,
top_scorers,,Al Fayha,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,28.0,Sakala F.,https://us.soccerway.com/player/sakala-fashion/SIJGSk10/,8.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Fayha,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,29.0,Lopez R.,https://us.soccerway.com/player/lopez-renzo/fR2MSKWe/,8.0,1.0,0.0,,,,,,,,,,
top_scorers,,Al Nassr,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,30.0,Duran J.,https://us.soccerway.com/player/duran-jhon/dxCFSeJd/,8.0,0.0,0.0,,,,,,,,,,
top_scorers,,Al Ittihad,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,31.0,Al Oboud A.,https://us.soccerway.com/player/al-obood-abdulrahman/6olgp54C/,7.0,7.0,0.0,,,,,,,,,,
top_scorers,,Al Kholood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,32.0,Muleka J.,https://us.soccerway.com/player/muleka-jackson/SlSaXymb/,7.0,5.0,0.0,,,,,,,,,,
top_scorers,,Al Ahli SC,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,32.0,Veiga G.,https://us.soccerway.com/player/veiga-gabriel/Yan3ytt6/,7.0,5.0,0.0,,,,,,,,,,
top_scorers,,Al Ettifaq,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,34.0,Dembele M.,https://us.soccerway.com/player/dembele-moussa/jBP2q6F0/,7.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Okhdood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,34.0,Saviour G.,https://us.soccerway.com/player/saviour-godwin/v1DYNADq/,7.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Fateh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,34.0,Vargas M.,https://us.soccerway.com/player/vargas-matias/65rQGooo/,7.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Shabab,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,37.0,Diallo H.,https://us.soccerway.com/player/diallo-habibou/QDDmLhK6/,7.0,3.0,0.0,,,,,,,,,,
top_scorers,,Al Khaleej,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,38.0,Martins F.,https://us.soccerway.com/player/martins-fabio/Kvs8ZiLB/,7.0,1.0,0.0,,,,,,,,,,
top_scorers,,Al Wehda,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,39.0,Noor A.,https://us.soccerway.com/player/noor-abdulaziz/Kb2EmCll/,7.0,0.0,0.0,,,,,,,,,,
top_scorers,,Al Wehda,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,40.0,Goodwin C.,https://us.soccerway.com/player/goodwin-craig/pCTh1BmO/,6.0,7.0,0.0,,,,,,,,,,
top_scorers,,Al Ettifaq,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,40.0,Vitinho,https://us.soccerway.com/player/vitinho/MiX5GZcd/,6.0,7.0,0.0,,,,,,,,,,
top_scorers,,Al Riyadh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,42.0,Selemani F.,https://us.soccerway.com/player/selemanie-faiz/OpyZa6lQ/,6.0,4.0,0.0,,,,,,,,,,
top_scorers,,Al Raed,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,43.0,Al Amri S.,https://us.soccerway.com/player/al-amri-saleh/AsiYmp1M/,6.0,3.0,0.0,,,,,,,,,,
top_scorers,,Al Shabab,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,43.0,Camara H.,https://us.soccerway.com/player/camara-haroune/IkRkg2B2/,6.0,3.0,0.0,,,,,,,,,,
top_scorers,,Al Wehda,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,45.0,Ighalo O.,https://us.soccerway.com/player/ighalo-odion/ITCY8iWq/,6.0,2.0,0.0,,,,,,,,,,
top_scorers,,Al Okhdood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,46.0,Bassogog C.,https://us.soccerway.com/player/bassogog-christian/rPtPQfjE/,6.0,1.0,0.0,,,,,,,,,,
top_scorers,,Al Nassr,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,47.0,Talisca,https://us.soccerway.com/player/talisca-anderson/IaSmtEpe/,6.0,0.0,0.0,,,,,,,,,,
top_scorers,,Al Ittihad,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,48.0,Diaby M.,https://us.soccerway.com/player/diaby-moussa/GYjwX8oI/,5.0,14.0,0.0,,,,,,,,,,
top_scorers,,Al Hilal,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,49.0,Al Juwayr M.,https://us.soccerway.com/player/aljuwayr-musab-fahz/jwkrkKh5/,5.0,10.0,0.0,,,,,,,,,,
top_scorers,,Damac,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,50.0,Stanciu N.,https://us.soccerway.com/player/stanciu-nicolae/tY8uva0F/,5.0,7.0,0.0,,,,,,,,,,
form_table,1.0,Al Ittihad,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,5,0,0,13:5,8,15,,,
form_table,2.0,Al Hilal,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,4,1,0,16:7,9,13,,,
form_table,3.0,Al Qadsiah,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,4,0,1,11:5,6,12,,,
form_table,4.0,Al Ettifaq,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,3,1,1,7:4,3,10,,,
form_table,5.0,Al Shabab,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,3,0,2,11:8,3,9,,,
form_table,6.0,Al Fateh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,3,0,2,10:8,2,9,,,
form_table,7.0,Al Ahli SC,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,3,0,2,9:7,2,9,,,
form_table,8.0,Al Kholood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,3,0,2,7:9,-2,9,,,
form_table,9.0,Al Nassr,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,2,1,2,16:7,9,7,,,
form_table,10.0,Al Wehda,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,2,1,2,6:7,-1,7,,,
form_table,11.0,Al Orubah,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,2,0,3,9:13,-4,6,,,
form_table,12.0,Al Fayha,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,2,0,3,4:8,-4,6,,,
form_table,13.0,Al Okhdood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,2,0,3,5:15,-10,6,,,
form_table,14.0,Damac,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,1,1,3,2:4,-2,4,,,
form_table,15.0,Al Taawon,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,1,1,3,6:9,-3,4,,,
form_table,16.0,Al Khaleej,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,1,0,4,6:10,-4,3,,,
form_table,17.0,Al Riyadh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,1,0,4,7:12,-5,3,,,
form_table,18.0,Al Raed,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,5,0,0,5,5:12,-7,0,,,
over_under,1.0,Al Hilal,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,95:41,,,26,8,4
over_under,2.0,Al Nassr,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,80:38,,,24,10,3.5
over_under,3.0,Al Shabab,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,65:41,,,23,11,3.1
over_under,4.0,Al Ittihad,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,79:35,,,22,12,3.4
over_under,5.0,Al Wehda,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,42:67,,,21,13,3.2
over_under,6.0,Al Fateh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,47:61,,,21,13,3.2
over_under,7.0,Al Raed,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,41:66,,,21,13,3.1
over_under,8.0,Al Orubah,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,31:74,,,21,13,3.1
over_under,9.0,Al Khaleej,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,40:57,,,21,13,2.9
over_under,10.0,Al Kholood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,42:64,,,19,15,3.1
over_under,11.0,Al Riyadh,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,37:52,,,19,15,2.6
over_under,12.0,Al Ahli SC,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,69:36,,,18,16,3.1
over_under,13.0,Al Ettifaq,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,44:45,,,18,16,2.6
over_under,14.0,Damac,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,37:50,,,18,16,2.6
over_under,15.0,Al Okhdood,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,33:56,,,16,18,2.6
over_under,16.0,Al Qadsiah,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,53:31,,,16,18,2.5
over_under,17.0,Al Fayha,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,27:49,,,13,21,2.2
over_under,18.0,Al Taawon,,,,,,,,,,,,,,,2026-06-10 03:15,,,,,,,,,,,,,,,34,,,,40:39,,,11,23,2.3
